Video ID,Views,Watch time min,Avg view duration,Subs gained
5NLHhtIgqAs,993,215,38,13
_vIfv1AosCI,850,274,51,7
UObM30FGdSs,456,205,49,3
YVdoizW2ZgE,360,158,52,2
mAJS97kNC5E,216,3167,879,4
DEYNUT9uoxM,167,73,59,1
KyztVQJZMu4,167,53,39,0
Jk0Kt9DldPY,166,60,46,1
Iu-MTsWUKFI,153,21,36,0
twEPtt40DcI,139,41,42,0
c2dn1oQdKrY,134,301,135,3
asP2pgJ0bwE,133,735,332,0
cfM4FSJ5ink,131,33,40,0
5IkPiZQRvjE,124,28,41,0
rk5McSnjVzM,115,86,98,0
KT8JwKgiLBs,105,5,16,0
aIg7RtTMTeI,100,8,22,0
L-tShzw6ONg,98,10,32,0
O9tVwtgerjQ,85,39,55,1
ZyVNYgM4aqo,80,14,40,0
Vy4JoUHl8uI,79,6,30,0
dgyr3EOZpFE,76,91,72,0
Thz-m72BZ_o,76,53,143,3
q9W387FmpGE,75,7,15,0
o55RyJe0Lu4,68,106,211,0
_GNOQBQgT28,66,205,186,0
kPUWXf-9xfo,64,10,26,0
fsP_XHaUYjk,63,21,53,0
rGOlcOqpPOI,62,14,60,0
ZS6VNvqsInI,58,35,88,0
Dlh4Tfvh11Y,58,27,78,0
VA-JokBOVQY,58,4,41,0
GAMdWOb9At0,54,98,109,0
KGwIZwjJHjQ,38,124,197,0
H9jblXXVHxY,35,178,629,1
iMNr2Xilz8c,31,11,41,0
rq27Uvxudwg,27,11,49,0
VwLNSJuesG0,18,80,269,0
P60fdxaXFhM,16,53,201,0
qUNz7fKwtMo,16,14,54,0
ooFdPFS_qvs,15,8,35,0
2jY6JD1f3Ak,15,4,36,0
xDlYp2yQIx8,14,40,172,0
Jb9l1tT95ok,14,105,451,0
BMHa1-aVF_4,13,13,203,0
t4g80RwGtis,11,26,146,0
isBUYL7jvdY,11,6,63,0
Zs2ctQoZmhU,11,20,113,0
p8E7hz7Vtn4,10,27,166,0
HN90wEr-2Qo,10,9,59,0
